mapsize,25,25,,,,,,,,,,,,,,,,,,,,,,
mapdata,,,,,,,,,,,,,,,,,,,,,,,,
10,11,12,13,14,15,10,11,12,13,14,15,10,11,12,13,14,15,10,11,12,13,14,15,10
26,27,28,29,30,31,26,27,28,29,30,31,26,27,28,29,30,31,26,27,28,29,30,31,26
10,11,34,35,34,35,34,35,34,35,34,35,34,35,34,35,34,35,34,35,34,35,35,15,10
26,27,50,51,50,51,50,51,50,51,50,51,50,51,50,51,50,51,50,51,50,51,51,31,26
10,11,34,35,34,35,34,35,34,35,34,35,34,35,34,35,34,35,34,35,34,35,35,15,10
26,27,50,51,50,51,50,51,50,51,50,51,50,51,50,51,50,51,50,51,50,51,51,31,26
10,11,34,35,34,35,34,35,34,35,34,35,34,35,34,35,34,35,34,35,34,35,35,15,10
26,27,50,51,50,51,50,51,50,51,50,51,50,51,50,51,50,51,50,51,50,51,51,31,26
10,11,34,35,34,35,34,35,34,35,34,35,34,35,34,35,34,35,34,35,34,35,35,15,10
26,27,50,51,50,51,50,51,50,51,50,51,50,51,50,51,50,51,50,51,50,51,51,31,26
10,11,34,35,34,35,34,35,34,35,34,35,34,35,34,35,34,35,34,35,34,35,35,15,10
26,27,50,51,50,51,50,51,50,51,50,51,50,51,50,51,50,51,50,51,50,51,51,31,26
10,11,34,35,34,35,34,35,34,35,34,35,34,35,34,35,34,35,34,35,34,35,35,15,10
26,27,50,51,50,51,50,51,50,51,50,51,50,51,50,51,50,51,50,51,50,51,51,31,26
10,11,34,35,34,35,34,35,34,35,34,35,34,35,34,35,34,35,34,35,34,35,35,15,10
26,27,50,51,50,51,50,51,50,51,50,51,50,51,50,51,50,51,50,51,50,51,51,31,26
10,11,34,35,34,35,34,35,34,35,34,35,34,35,34,35,34,35,34,35,34,35,35,15,10
26,27,50,51,50,51,50,51,50,51,50,51,50,51,50,51,50,51,50,51,50,51,51,31,26
10,11,34,35,34,35,34,35,34,35,34,35,34,35,34,35,34,35,34,35,34,35,35,15,10
26,27,50,51,50,51,50,51,50,51,50,51,50,51,50,51,50,51,50,51,50,51,51,31,26
10,11,34,35,34,35,34,35,34,35,34,35,34,35,34,35,34,35,34,35,34,35,35,15,10
26,27,50,51,50,51,50,51,50,51,50,51,50,51,50,51,50,51,50,51,50,51,51,31,26
10,11,12,13,14,15,10,11,12,13,14,15,10,11,12,13,14,15,10,11,12,13,14,15,10
26,27,28,29,30,31,26,27,28,29,30,31,26,27,28,29,30,31,26,27,28,29,30,31,26
10,11,12,13,14,15,10,11,12,13,14,15,10,11,12,13,14,15,10,11,12,13,14,15,10
